,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,Lagos,6.5833,3.75,300.33,87,83,1.62,NG,1635369389
350,Chuguyevka,44.1653,133.8633,276.97,97,100,2.42,RU,1635369389
351,Furano,43.2818,142.4743,281.46,93,97,1.67,JP,1635369390
352,Arrecife,28.963,-13.5477,294.19,73,20,3.6,ES,1635369390
353,Roald,62.5833,6.1333,286.23,71,75,7.2,NO,1635369390
354,Yumen,40.2833,97.2,278.37,46,4,5.56,CN,1635369391
355,Tobermory,45.2501,-81.6665,285.54,69,78,6.43,CA,1635369391
356,Blairmore,49.6,-114.4353,281.66,39,20,5.66,CA,1635369392
357,Umluj,25.0213,37.2685,299.7,61,0,2.75,SA,1635369392
358,Sompeta,18.9333,84.6,298.39,81,42,4.12,IN,1635369392
359,Dunedin,-45.8742,170.5036,288.04,78,22,2.68,NZ,1635369392
360,Sainte-Marie,-20.8968,55.5496,294.24,68,0,5.14,RE,1635369393
361,Aquiraz,-3.9014,-38.3911,301.2,79,5,5.56,BR,1635369393
362,Kuybyshevo,47.8123,38.9073,277.26,43,0,0.85,RU,1635369393
363,Cleveland,41.4995,-81.6954,286.41,90,90,1.54,US,1635369385
364,Zhigansk,66.7697,123.3711,266.05,94,100,9.98,RU,1635369394
365,Quatre Cocos,-20.2078,57.7625,295.42,72,9,3.91,MU,1635369394
366,Sibu,2.3,111.8167,297.32,100,40,1.54,MY,1635369394
367,Margate,51.3813,1.3862,286.99,82,80,1.79,GB,1635369395
368,Severo-Yeniseyskiy,60.3725,93.0408,265.67,83,100,5.49,RU,1635369395
369,Nzérékoré,7.7562,-8.8179,295.08,93,100,0.94,GN,1635369395
370,São Lourenço,-22.1164,-45.0544,292.8,91,100,1.11,BR,1635369396
371,Leh,34.1667,77.5833,268.78,62,2,1.84,IN,1635369181
372,Qasigiannguit,68.8193,-51.1922,265.29,72,100,1.47,GL,1635369396
373,Kyzyl,51.7,94.45,276.96,54,100,1.32,RU,1635369396
374,Praia,14.9215,-23.5087,299.45,78,40,8.75,CV,1635369282
375,Port Macquarie,-31.4333,152.9167,294.2,100,40,2.57,AU,1635369397
376,Arrondissement du Havre,49.5833,0.3333,285.02,87,0,2.06,FR,1635369397
377,Kahului,20.8947,-156.47,302.58,64,20,8.75,US,1635369398
378,Sisimiut,66.9395,-53.6735,268.8,63,100,1.68,GL,1635369398
379,Halifax,44.6453,-63.5724,283.27,90,100,3.13,CA,1635368958
380,Mansehra,34.3333,73.2,285.4,45,0,2.56,PK,1635369398
381,Khromtau,50.2503,58.4347,272.41,52,24,5.75,KZ,1635369399
382,Santa Isabel Rio Negro,-0.4139,-65.0192,299.75,91,86,1.35,BR,1635369399
383,Aldergrove,49.058,-122.4709,286.57,74,75,1.34,CA,1635369399
384,Poum,-20.2333,164.0167,297.42,80,1,3.74,NC,1635369399
385,Awjilah,29.1081,21.2869,295.39,51,94,0.98,LY,1635369400
386,Crossville,35.949,-85.0269,290.5,45,1,1.79,US,1635369323
387,Myitkyina,25.3833,97.4,293.61,89,73,0.66,MM,1635369400
388,Lagoa,39.05,-27.9833,292.85,67,94,9.27,PT,1635369400
389,Coolum Beach,-26.5333,153.1,298.21,84,23,3.19,AU,1635369401
390,Fort-Shevchenko,44.5086,50.263,281.36,60,3,5.1,KZ,1635369401
391,Sitka,57.0531,-135.33,281.09,76,90,7.2,US,1635369402
392,Kalawit,8.0667,122.5167,297.37,95,100,2.6,PH,1635369402
393,Kadiri,14.1167,78.1667,294.1,74,37,0.84,IN,1635369403
394,Raja,8.4596,25.678,295.56,85,46,1.23,SS,1635369403
395,Zhireken,52.8249,117.3076,272.09,69,80,1.15,RU,1635369403
396,Mogadishu,2.0371,45.3438,299.65,82,14,4.95,SO,1635369265
397,Dingle,10.9995,122.6711,296.85,95,99,2.89,PH,1635369404
398,Surin,14.8818,103.4936,294.92,90,100,5.1,TH,1635369404
399,Waingapu,-9.6567,120.2641,300.16,77,72,2.71,ID,1635369404
400,Nelson Bay,-32.7167,152.15,294.79,80,75,0.89,AU,1635369404
401,Vágur,61.4732,-6.8119,282.38,85,100,11.42,FO,1635369405
402,Narón,43.5167,-8.1528,288.52,75,4,2.5,ES,1635369405
403,Brønnøysund,65.4625,12.1997,283.38,93,75,7.2,NO,1635369405
404,Bandarbeyla,9.4942,50.8122,298.61,75,9,3.63,SO,1635369406
405,Sigli,5.3848,95.9609,299.16,80,100,1.07,ID,1635369406
406,Bardsīr,29.9227,56.5743,282.18,33,21,0.92,IR,1635369406
407,Hauterive,46.0901,3.4459,279.83,87,0,1.82,FR,1635369407
408,Chifeng,42.2683,118.9636,278.75,46,0,1.5,CN,1635369407
409,Fairview,40.8126,-73.999,290.37,65,90,5.66,US,1635369407
410,Tupanatinga,-8.7533,-37.3397,297.68,57,59,7.78,BR,1635369408
411,Matagami,49.7502,-77.6328,281.21,66,1,1.03,CA,1635369408
412,Riohacha,11.5444,-72.9072,303.22,71,90,0.28,CO,1635369408
413,Umm Kaddadah,13.6017,26.6876,302.53,17,1,5.77,SD,1635369409
414,Winnemucca,40.973,-117.7357,289.18,55,75,4.63,US,1635369200
415,Balikpapan,-1.2675,116.8289,296.93,94,99,1.44,ID,1635369409
416,Paraná,-31.732,-60.5238,307.76,29,4,6.41,AR,1635369409
417,Makubetsu,45.3714,141.8211,284.16,83,69,6.64,JP,1635369410
418,Praia da Vitória,38.7333,-27.0667,292.46,77,40,4.89,PT,1635369410
419,Rawson,-43.3002,-65.1023,300.09,25,1,11.09,AR,1635369410
420,Ishigaki,24.3448,124.1572,294.22,78,75,2.57,JP,1635369411
421,Shingū,33.7333,135.9833,286.01,78,0,3.25,JP,1635369411
422,Ilulissat,69.2167,-51.1,265.16,62,75,1.54,GL,1635369411
423,Kintinku,-5.8833,35.2333,298.54,41,3,3.16,TZ,1635369411
424,Olafsvik,64.8945,-23.7142,277.44,94,100,11.83,IS,1635369412
425,Pringsewu,-5.3582,104.9744,297.15,95,100,1.42,ID,1635369412
426,Bacolod City,10.6667,122.95,298.12,87,100,2.81,PH,1635369412
427,Chegdomyn,51.1167,133.0167,270.46,96,13,0.31,RU,1635369413
428,Tan An,10.5333,106.4167,297.16,95,100,1.3,VN,1635369413
429,Edd,13.9297,41.6925,304.64,34,68,9.76,ER,1635369413
430,Nyurba,63.2842,118.3319,271.07,71,38,6.19,RU,1635369414
431,Eenhana,-17.4667,16.3333,296.63,48,44,3.98,NA,1635369414
432,Lázaro Cárdenas,17.9583,-102.2,301.62,75,100,3.73,MX,1635369414
433,Omboué,-1.5746,9.2618,297.21,90,100,2.84,GA,1635369415
434,Ponta do Sol,32.6667,-17.1,294.82,69,5,1.29,PT,1635369415
435,Belmonte,-15.8631,-38.8828,298.43,81,6,4.02,BR,1635369415
436,Banjar,-8.19,114.9675,299.07,87,55,1.38,ID,1635369416
437,Sigayevo,56.4216,53.7757,275.29,72,100,6.62,RU,1635369416
438,Kings Park,40.8862,-73.2573,288.09,78,90,1.34,US,1635369416
439,Ocós,14.5094,-92.1933,306.43,74,81,3.17,GT,1635369417
440,Bangangté,5.1409,10.5198,289.37,94,50,1.23,CM,1635369417
441,Nioki,-2.7167,17.6833,294.23,98,62,1.05,CD,1635369417
442,Leningradskiy,69.3833,178.4167,261.03,93,100,9.06,RU,1635369418
443,Menongue,-14.6585,17.691,292.68,69,100,1.67,AO,1635369418
444,La Plata,-34.9215,-57.9545,306.1,31,0,3.3,AR,1635369240
445,Lagunas,-5.2269,-75.6753,304.44,51,87,0.31,PE,1635369418
446,Salym,60.0625,71.4789,267.85,95,100,2.56,RU,1635369419
447,Pacific Grove,36.6177,-121.9166,298.47,68,1,1.34,US,1635369246
448,Aripuanã,-9.1667,-60.6333,299.32,82,100,0.92,BR,1635369419
449,Metsamor,40.073,44.2896,277.25,38,0,2.06,AM,1635369419
450,Dromolaxia,34.8761,33.586,292.96,77,0,2.06,CY,1635369420
451,Três Lagoas,-20.7511,-51.6783,300.36,71,100,2.67,BR,1635369420
452,Kampene,-3.6,26.6667,293.83,96,100,0.8,CD,1635369420
453,Sémbé,1.6481,14.5806,294.54,98,100,0.25,CG,1635369421
454,Nuuk,64.1835,-51.7216,272.49,64,20,2.57,GL,1635369422
455,Nova Prata,-28.7839,-51.61,299.71,59,0,1.44,BR,1635369422
456,Faya,18.3851,42.4509,288.21,59,42,1.89,SA,1635369423
457,Aras,42.5617,-2.356,284.81,90,0,1.54,ES,1635369424
458,Nouadhibou,20.931,-17.0347,293.55,85,27,7.84,MR,1635369424
459,Priyutovo,53.9,53.9333,274.66,63,100,7.44,RU,1635369424
460,San Rafael,-34.6177,-68.3301,305.97,12,51,6.35,AR,1635369425
461,Ruwi,23.5996,58.5507,300.98,67,23,4.8,OM,1635369425
462,Nanortalik,60.1432,-45.2371,274.88,66,2,4.1,GL,1635369425
463,Capaci,38.1711,13.2393,292.11,87,40,3.09,IT,1635369426
464,Bosaso,11.2842,49.1816,299.17,61,0,1.76,SO,1635369426
465,Mölnlycke,57.6589,12.1179,286.2,96,90,6.17,SE,1635369426
466,Saint-Augustin,51.226,-58.6502,277.82,73,6,2.26,CA,1635369427
467,San Fernando,15.0286,120.6898,300.16,91,56,2.22,PH,1635369427
468,Kiama,-34.6833,150.8667,291.8,90,92,1.11,AU,1635369427
469,Räpina,58.0981,27.4636,284.31,92,100,6.4,EE,1635369428
470,Verāval,20.9,70.3667,299.77,59,11,2.55,IN,1635369428
471,Cadillac,44.2519,-85.4012,283.75,81,90,4.63,US,1635369428
472,Laas,46.6166,10.7002,278.64,54,2,0.9,IT,1635369429
473,Laguna,38.421,-121.4238,296.72,65,1,1.34,US,1635369429
474,Valdivia,-39.8142,-73.2459,292.2,58,0,2.37,CL,1635369429
475,Lake Sebu,6.22,124.6936,292.85,93,99,0.61,PH,1635369430
476,Benghazi,32.1167,20.0667,295.58,77,28,4.24,LY,1635369430
477,Aksarka,66.5606,67.7975,262.56,92,100,2.68,RU,1635369430
478,Baton Rouge,30.4508,-91.1545,300.07,85,90,3.58,US,1635369376
479,Beloha,-25.1667,45.05,293.12,77,93,6.88,MG,1635369431
480,Cap Malheureux,-19.9842,57.6142,295.63,72,9,0.89,MU,1635369431
481,Cham,47.1821,8.4636,282.07,90,90,0.0,CH,1635369431
482,Bereda,43.2686,-7.5406,285.6,100,7,0.81,ES,1635369432
483,Senekal,-28.3197,27.6208,289.42,72,100,5.01,ZA,1635369432
484,Te Anau,-45.4167,167.7167,285.59,82,74,0.83,NZ,1635369432
485,Sur,22.5667,59.5289,298.78,68,14,4.0,OM,1635369433
486,La Orilla,17.9833,-102.2333,301.48,75,100,3.73,MX,1635369433
487,Gobabis,-22.45,18.9667,292.05,61,100,6.57,NA,1635369433
488,Vetlanda,57.4289,15.0776,286.08,96,100,5.06,SE,1635369198
489,Guarda,40.5373,-7.2658,282.7,50,0,1.23,PT,1635369434
490,Kargasok,59.0556,80.8572,268.53,95,9,3.25,RU,1635369434
491,Marystown,47.1666,-55.1483,281.4,100,95,4.02,CA,1635369434
492,Russell,32.3502,-85.1999,296.99,40,1,1.54,US,1635369434
493,Paracuru,-3.41,-39.0306,301.16,79,15,5.77,BR,1635369435
494,Libertador General San Martín,-23.8064,-64.7876,308.14,15,20,3.63,AR,1635369435
495,Selenginsk,52.0064,106.8647,266.38,76,42,1.37,RU,1635369435
496,Kununurra,-15.7667,128.7333,299.14,89,51,0.0,AU,1635369436
497,Karachi,24.9056,67.0822,295.05,56,0,0.0,PK,1635369225
498,Alanya,36.5438,31.9998,292.22,66,99,1.75,TR,1635369436
499,Mandurah,-32.55,115.7,281.57,79,10,4.34,AU,1635369437
500,Meulaboh,4.1363,96.1285,296.9,90,100,1.61,ID,1635369437
501,Rabak,13.1809,32.74,303.39,36,36,1.34,SD,1635369437
502,Dingcheng,32.1272,115.0394,287.36,73,16,1.8,CN,1635369437
503,Skjervøy,70.0311,20.9714,274.01,69,98,13.67,NO,1635369438
504,Hailar,49.2,119.7,273.34,61,6,3.33,CN,1635369438
505,Gīdolē,5.65,37.3667,287.66,72,12,1.75,ET,1635369438
506,Padang,-0.9492,100.3543,297.66,77,88,1.7,ID,1635369304
507,Eganville,45.5334,-77.0994,285.78,70,100,2.16,CA,1635369439
508,Palm Beach,26.6503,-80.4498,305.38,65,100,2.0,US,1635369439
509,Kiruna,67.8557,20.2251,267.66,93,90,2.57,SE,1635369440
510,Mildura,-34.2,142.15,295.97,60,82,2.06,AU,1635369440
511,Muscatine,41.4667,-91.1335,288.24,51,75,0.89,US,1635369440
512,Liwale,-9.7667,37.9333,296.25,76,62,2.42,TZ,1635369440
513,Henties Bay,-22.116,14.2845,289.18,81,96,1.67,NA,1635369441
514,Mora,11.0461,14.1401,300.26,22,48,1.69,CM,1635369441
515,Ilhabela,-23.7781,-45.3581,295.42,99,100,2.08,BR,1635369441
516,Galesong,-5.3166,119.3661,297.16,80,95,2.25,ID,1635369442
517,Necochea,-38.5473,-58.7368,297.08,67,0,4.84,AR,1635369442
518,Bonavista,48.6499,-53.1147,278.77,64,100,6.16,CA,1635369442
519,Kunming,25.0389,102.7183,287.11,94,90,5.0,CN,1635369443
520,Jhārgrām,22.45,86.9833,295.47,79,18,2.93,IN,1635369443
521,Marzuq,14.4,46.4667,294.31,56,16,1.89,YE,1635369443
522,Hofn,64.2539,-15.2082,277.99,68,33,4.26,IS,1635369444
523,Gorom-Gorom,14.4439,-0.2361,306.36,19,8,3.21,BF,1635369444
524,Bom Jardim,-7.7958,-35.5872,297.17,72,48,6.0,BR,1635369445
525,Muros,42.7762,-9.0603,288.28,93,5,2.14,ES,1635369445
526,‘Āhuimanu,21.4447,-157.8378,301.99,69,40,4.63,US,1635369445
527,Coração de Jesus,-16.6853,-44.365,301.55,43,59,4.19,BR,1635369446
528,Nantucket,41.2835,-70.0995,284.8,90,100,19.95,US,1635369446
529,Dabeiba,7.0017,-76.2672,300.27,83,87,1.86,CO,1635369446
530,São Miguel do Iguaçu,-25.3481,-54.2378,304.84,46,100,2.11,BR,1635369447
531,Manicoré,-5.8092,-61.3003,299.87,86,100,0.54,BR,1635369447
532,Geilo,60.5333,8.2076,280.76,93,100,2.04,NO,1635369447
533,High Level,58.5169,-117.136,275.21,100,90,2.06,CA,1635369448
534,Bonfim,3.0833,-59.95,302.89,63,93,2.54,BR,1635369448
535,Isangel,-19.55,169.2667,299.3,79,100,1.98,VU,1635369448
536,Yar-Sale,66.8333,70.8333,262.19,92,50,2.94,RU,1635369448
537,São Gabriel da Cachoeira,-0.1303,-67.0892,299.92,89,100,0.79,BR,1635369449
538,Esmeraldas,-19.7625,-44.3139,301.21,65,95,4.45,BR,1635369449
539,Iralaya,15.0,-83.2333,304.2,68,98,3.47,HN,1635369449
540,Tiverton,50.9,-3.4833,288.37,89,83,3.13,GB,1635369450
541,Rome,43.2128,-75.4557,287.28,65,40,3.09,US,1635369450
